Date	Price	Open	High	Low	Change %
23-Nov-17	6.988	7.013	7.013	6.988	0.37
22-Nov-17	6.962	6.943	6.962	6.943	0.96
21-Nov-17	6.896	6.911	6.911	6.896	0.1
20-Nov-17	6.889	6.912	6.912	6.889	-2.24
17-Nov-17	7.047	6.974	7.047	6.974	-0.21
16-Nov-17	7.062	7.052	7.062	7.052	0.61
15-Nov-17	7.019	7.028	7.028	7.019	-0.47
14-Nov-17	7.052	7.052	7.052	7.052	1.13
13-Nov-17	6.973	6.975	6.975	6.973	0.23
10-Nov-17	6.957	6.928	6.957	6.928	0.36
9-Nov-17	6.932	6.929	6.932	6.929	-0.1
8-Nov-17	6.939	6.938	6.939	6.938	0.14
7-Nov-17	6.929	6.929	6.929	6.929	0.51
6-Nov-17	6.894	6.885	6.894	6.885	0.51
3-Nov-17	6.859	6.862	6.862	6.859	-0.01
2-Nov-17	6.86	6.878	6.878	6.86	-0.49
1-Nov-17	6.894	6.879	6.894	6.879	0.47
31-Oct-17	6.862	6.869	6.869	6.862	-0.33
30-Oct-17	6.885	6.833	6.885	6.833	1.13
29-Oct-17	6.808	6.808	6.808	6.808	0
27-Oct-17	6.808	6.828	6.828	6.808	0.15
26-Oct-17	6.798	6.804	6.804	6.798	-0.21
25-Oct-17	6.812	6.801	6.812	6.801	0.46
24-Oct-17	6.781	6.785	6.785	6.781	-0.29
23-Oct-17	6.801	6.788	6.801	6.788	0.58
22-Oct-17	6.762	6.762	6.762	6.762	0
18-Oct-17	6.762	6.765	6.765	6.762	-0.04
17-Oct-17	6.765	6.752	6.765	6.752	0.46
16-Oct-17	6.734	6.736	6.736	6.734	-0.03
13-Oct-17	6.736	6.732	6.736	6.732	-0.27
12-Oct-17	6.754	6.74	6.754	6.74	0.21
11-Oct-17	6.74	6.756	6.756	6.74	0
10-Oct-17	6.74	6.769	6.769	6.74	-0.58
9-Oct-17	6.779	6.757	6.779	6.757	0.28
6-Oct-17	6.76	6.746	6.76	6.746	0.46
5-Oct-17	6.729	6.734	6.734	6.729	0.39
4-Oct-17	6.703	6.632	6.703	6.632	0.83
3-Oct-17	6.648	6.643	6.648	6.643	-0.28
29-Sep-17	6.667	6.618	6.667	6.618	0.42
28-Sep-17	6.639	6.666	6.666	6.639	-0.42
27-Sep-17	6.667	6.663	6.667	6.663	-0.04
26-Sep-17	6.67	6.659	6.67	6.659	0.77
25-Sep-17	6.619	6.642	6.642	6.619	-0.73
22-Sep-17	6.668	6.679	6.679	6.668	-0.12
21-Sep-17	6.676	6.641	6.676	6.641	1.47
20-Sep-17	6.579	6.591	6.591	6.579	-0.23
19-Sep-17	6.594	6.607	6.607	6.594	-0.26
18-Sep-17	6.611	6.603	6.611	6.603	0.17
15-Sep-17	6.6	6.597	6.6	6.597	0.15
14-Sep-17	6.59	6.589	6.59	6.589	0.06
13-Sep-17	6.586	6.578	6.586	6.578	0.44
12-Sep-17	6.557	6.566	6.566	6.557	-0.08
11-Sep-17	6.562	6.55	6.562	6.55	0.28
8-Sep-17	6.544	6.514	6.544	6.514	0.4
7-Sep-17	6.518	6.521	6.521	6.518	0.2
6-Sep-17	6.505	6.489	6.505	6.489	0.03
